skill,demand_percentage,supply_percentage,gap_score,status
Cypress,0.0,0.53,-0.53,Mild Surplus
Kubernetes,7.3,7.84,-0.54,Mild Surplus
Ci/Cd,8.2,8.76,-0.56,Mild Surplus
Deep Learning,3.7,4.28,-0.58,Mild Surplus
Pandas,3.75,4.35,-0.6,Mild Surplus
Cloudformation,3.35,3.95,-0.6,Mild Surplus
Data Warehousing,3.2,3.89,-0.69,Mild Surplus
Prometheus,3.65,4.35,-0.7,Mild Surplus
Jenkins,3.85,4.55,-0.7,Mild Surplus
Ansible,3.9,4.61,-0.71,Mild Surplus
Big Data,3.1,3.89,-0.79,Mild Surplus
Grafana,4.15,4.94,-0.79,Mild Surplus
Azure,3.1,3.95,-0.85,Mild Surplus
Serverless,3.2,4.15,-0.95,Mild Surplus
Ux Design,0.0,0.99,-0.99,Mild Surplus
Siem,2.75,3.75,-1.0,Mild Surplus
Api Integration,0.0,1.12,-1.12,Mild Surplus
Etl,3.35,4.55,-1.2,Mild Surplus
Troubleshooting,0.75,1.98,-1.23,Mild Surplus
Terraform,7.3,8.7,-1.4,Mild Surplus
Spark,3.2,4.61,-1.41,Mild Surplus
Routing,0.75,2.17,-1.42,Mild Surplus
Printers,0.0,1.45,-1.45,Mild Surplus
Cisco,0.7,2.17,-1.47,Mild Surplus
Backup Recovery,1.3,2.83,-1.53,Mild Surplus
Load Balancing,0.8,2.44,-1.64,Mild Surplus
Performance Tuning,1.25,2.9,-1.65,Mild Surplus
Vpn,0.8,2.5,-1.7,Mild Surplus
Ospf,0.8,2.5,-1.7,Mild Surplus
Mobile Devices,0.0,1.78,-1.78,Mild Surplus
Macos,0.0,1.78,-1.78,Mild Surplus
Ticketing Systems,0.0,1.91,-1.91,Mild Surplus
Firewalls,3.55,5.47,-1.92,Mild Surplus
Switching,0.7,2.64,-1.94,Mild Surplus
Bgp,0.8,2.83,-2.03,Mild Surplus
Active Directory,0.0,2.04,-2.04,Mild Surplus
Query Optimization,1.35,3.43,-2.08,Mild Surplus
Tcp/Ip,0.55,2.64,-2.09,Mild Surplus
Office 365,0.0,2.11,-2.11,Mild Surplus
Illustrator,0.0,2.17,-2.17,Mild Surplus
Hardware,0.0,2.17,-2.17,Mild Surplus
Networking Basics,0.0,2.24,-2.24,Mild Surplus
Network Security,3.55,5.8,-2.25,Mild Surplus
Sketch,0.0,2.31,-2.31,Mild Surplus
Software Installation,0.0,2.37,-2.37,Mild Surplus
Sharding,0.0,2.37,-2.37,Mild Surplus
Prioritization,0.0,2.44,-2.44,Mild Surplus
User Flows,0.0,2.44,-2.44,Mild Surplus
Remote Support,0.0,2.44,-2.44,Mild Surplus
Vulnerability Scanning,0.0,2.5,-2.5,Mild Surplus
Windows,0.0,2.5,-2.5,Mild Surplus
Customer Discovery,0.0,2.57,-2.57,Mild Surplus
Vlan,0.0,2.57,-2.57,Mild Surplus
Accessibility,0.0,2.57,-2.57,Mild Surplus
Security,0.8,3.43,-2.63,Mild Surplus
Customer Service,0.0,2.64,-2.64,Mild Surplus
Network Monitoring,0.0,2.7,-2.7,Mild Surplus
Replication,0.0,2.77,-2.77,Mild Surplus
Iso 27001,0.0,2.83,-2.83,Mild Surplus
Dhcp,0.0,2.9,-2.9,Mild Surplus
Dns,0.0,2.9,-2.9,Mild Surplus
Nist,0.0,2.96,-2.96,Mild Surplus
Photoshop,0.0,2.96,-2.96,Mild Surplus
Product Metrics,0.0,3.03,-3.03,Mild Surplus
Java,13.15,16.27,-3.12,Mild Surplus
Database Security,0.0,3.16,-3.16,Mild Surplus
Google Cloud,0.0,3.29,-3.29,Mild Surplus
Interaction Design,0.0,3.36,-3.36,Mild Surplus
A/B Testing,0.0,3.56,-3.56,Mild Surplus
PyTorch,0.0,3.69,-3.69,Mild Surplus
Infrastructure As Code,0.0,4.22,-4.22,Mild Surplus
Wireshark,0.8,5.27,-4.47,Mild Surplus
Reporting,0.0,4.48,-4.48,Mild Surplus
Microservices,0.0,4.61,-4.61,Mild Surplus
Api Security,0.0,5.14,-5.14,Moderate Surplus
Authentication,0.0,5.27,-5.27,Moderate Surplus
Angular,0.0,5.4,-5.4,Moderate Surplus
Ui/Ux Principles,0.0,5.86,-5.86,Moderate Surplus
Vue.js,0.0,5.93,-5.93,Moderate Surplus
Agile,4.8,10.87,-6.07,Moderate Surplus
Database Design,1.2,7.71,-6.51,Moderate Surplus
Scripting,0.0,6.92,-6.92,Moderate Surplus
Documentation,0.65,8.96,-8.31,Moderate Surplus
Monitoring,0.7,11.33,-10.63,Critical Surplus
Testing,0.0,14.23,-14.23,Critical Surplus
Adaptability,0.0,30.5,-30.5,Critical Surplus
Critical Thinking,0.0,31.03,-31.03,Critical Surplus
Creativity,0.0,31.75,-31.75,Critical Surplus
Time Management,0.0,33.0,-33.0,Critical Surplus
Leadership,0.0,33.47,-33.47,Critical Surplus
