antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Visual Design,"Teamwork, Usability Testing",0.041,0.0315,0.0305,0.7439024390243902,23.615950445218736,1.0,0.0292085,3.781761904761905,0.9985982666370365,0.726190476190476,0.7355729881511515,0.8560782036391792
"Wireframing, Teamwork",Visual Design,0.0315,0.041,0.0305,0.9682539682539683,23.615950445218736,1.0,0.0292085,30.2085,0.9888030332523676,0.726190476190476,0.9668967343628448,0.8560782036391792
"Prototyping, User Research",Usability Testing,0.0395,0.0415,0.0385,0.9746835443037974,23.486350465151745,1.0,0.03686075,37.86074999999997,0.9967955001791545,0.9058823529411764,0.9735874223305138,0.9511971938386456
Prototyping,"User Research, Usability Testing",0.0415,0.0395,0.0385,0.927710843373494,23.486350465151745,1.0,0.03686075,13.286916666666665,0.9988754073261116,0.9058823529411764,0.9247379941421072,0.9511971938386456
"User Research, Usability Testing",Prototyping,0.0395,0.0415,0.0385,0.9746835443037974,23.486350465151745,1.0,0.03686075,37.86074999999997,0.9967955001791545,0.9058823529411764,0.9735874223305138,0.9511971938386456
Usability Testing,"Prototyping, User Research",0.0415,0.0395,0.0385,0.927710843373494,23.486350465151745,1.0,0.03686075,13.286916666666665,0.9988754073261116,0.9058823529411764,0.9247379941421072,0.9511971938386456
Prototyping,"Visual Design, Usability Testing",0.0415,0.039,0.038,0.9156626506024096,23.478529502625886,1.0,0.0363815,11.39471428571428,0.9988606100540867,0.8941176470588235,0.9122400110326843,0.945010812480692
"Visual Design, Usability Testing",Prototyping,0.039,0.0415,0.038,0.9743589743589743,23.478529502625886,1.0,0.0363815,37.381499999999974,0.9962621173120105,0.8941176470588235,0.9732487995398793,0.945010812480692
Usability Testing,"Prototyping, Adobe Xd",0.0415,0.039,0.038,0.9156626506024096,23.478529502625886,1.0,0.0363815,11.39471428571428,0.9988606100540867,0.8941176470588235,0.9122400110326843,0.945010812480692
"Visual Design, Wireframing",Usability Testing,0.039,0.0415,0.038,0.9743589743589743,23.478529502625886,1.0,0.0363815,37.381499999999974,0.9962621173120105,0.8941176470588235,0.9732487995398793,0.945010812480692
"Prototyping, Wireframing",Usability Testing,0.039,0.0415,0.038,0.9743589743589743,23.478529502625886,1.0,0.0363815,37.381499999999974,0.9962621173120105,0.8941176470588235,0.9732487995398793,0.945010812480692
Usability Testing,"Prototyping, Wireframing",0.0415,0.039,0.038,0.9156626506024096,23.478529502625886,1.0,0.0363815,11.39471428571428,0.9988606100540867,0.8941176470588235,0.9122400110326843,0.945010812480692
Prototyping,"Visual Design, User Research",0.0415,0.039,0.038,0.9156626506024096,23.478529502625886,1.0,0.0363815,11.39471428571428,0.9988606100540867,0.8941176470588235,0.9122400110326843,0.945010812480692
"Visual Design, User Research",Prototyping,0.039,0.0415,0.038,0.9743589743589743,23.478529502625886,1.0,0.0363815,37.381499999999974,0.9962621173120105,0.8941176470588235,0.9732487995398793,0.945010812480692
"Prototyping, Adobe Xd",Usability Testing,0.039,0.0415,0.038,0.9743589743589743,23.478529502625886,1.0,0.0363815,37.381499999999974,0.9962621173120105,0.8941176470588235,0.9732487995398793,0.945010812480692
Usability Testing,"Visual Design, Wireframing",0.0415,0.039,0.038,0.9156626506024096,23.478529502625886,1.0,0.0363815,11.39471428571428,0.9988606100540867,0.8941176470588235,0.9122400110326843,0.945010812480692
"Visual Design, Adobe Xd",Prototyping,0.0385,0.0415,0.0375,0.974025974025974,23.47050539821624,1.0,0.03590225,36.90224999999999,0.9957288958224996,0.8823529411764705,0.9729013813520856,0.9388202159286496
Prototyping,"Visual Design, Adobe Xd",0.0415,0.0385,0.0375,0.9036144578313252,23.47050539821624,1.0,0.03590225,9.975562499999992,0.9988454181881412,0.8823529411764705,0.8997550263456321,0.9388202159286496
Usability Testing,"User Research, Adobe Xd",0.0415,0.0385,0.0375,0.9036144578313252,23.47050539821624,1.0,0.03590225,9.975562499999992,0.9988454181881412,0.8823529411764705,0.8997550263456321,0.9388202159286496
"User Research, Adobe Xd",Usability Testing,0.0385,0.0415,0.0375,0.974025974025974,23.47050539821624,1.0,0.03590225,36.90224999999999,0.9957288958224996,0.8823529411764705,0.9729013813520856,0.9388202159286496
"Visual Design, Adobe Xd",Usability Testing,0.0385,0.0415,0.0375,0.974025974025974,23.47050539821624,1.0,0.03590225,36.90224999999999,0.9957288958224996,0.8823529411764705,0.9729013813520856,0.9388202159286496
Usability Testing,"Visual Design, Adobe Xd",0.0415,0.0385,0.0375,0.9036144578313252,23.47050539821624,1.0,0.03590225,9.975562499999992,0.9988454181881412,0.8823529411764705,0.8997550263456321,0.9388202159286496
"Information Architecture, Usability Testing",Prototyping,0.0385,0.0415,0.0375,0.974025974025974,23.47050539821624,1.0,0.03590225,36.90224999999999,0.9957288958224996,0.8823529411764705,0.9729013813520856,0.9388202159286496
Prototyping,"Information Architecture, Usability Testing",0.0415,0.0385,0.0375,0.9036144578313252,23.47050539821624,1.0,0.03590225,9.975562499999992,0.9988454181881412,0.8823529411764705,0.8997550263456321,0.9388202159286496
"Prototyping, Figma",Visual Design,0.0395,0.041,0.038,0.9620253164556962,23.464032108675518,1.0,0.036380499999999996,25.25366666666668,0.9967533357078276,0.8941176470588235,0.9604017898390993,0.9444272923741895
"Prototyping, User Research",Visual Design,0.0395,0.041,0.038,0.9620253164556962,23.464032108675518,1.0,0.036380499999999996,25.25366666666668,0.9967533357078276,0.8941176470588235,0.9604017898390993,0.9444272923741895
"Prototyping, Usability Testing",Visual Design,0.0395,0.041,0.038,0.9620253164556962,23.464032108675518,1.0,0.036380499999999996,25.25366666666668,0.9967533357078276,0.8941176470588235,0.9604017898390993,0.9444272923741895
Visual Design,"Prototyping, Usability Testing",0.041,0.0395,0.038,0.9268292682926829,23.464032108675514,1.0,0.036380499999999996,13.126833333333321,0.9983123868064322,0.8941176470588235,0.9238201648023767,0.9444272923741895
Visual Design,"Prototyping, Figma",0.041,0.0395,0.038,0.9268292682926829,23.464032108675514,1.0,0.036380499999999996,13.126833333333321,0.9983123868064322,0.8941176470588235,0.9238201648023767,0.9444272923741895
Visual Design,"Prototyping, User Research",0.041,0.0395,0.038,0.9268292682926829,23.464032108675514,1.0,0.036380499999999996,13.126833333333321,0.9983123868064322,0.8941176470588235,0.9238201648023767,0.9444272923741895
"Visual Design, Information Architecture",Prototyping,0.038,0.0415,0.037,0.9736842105263158,23.462270133164235,1.0,0.035422999999999996,36.423000000000044,0.9951958195201439,0.8705882352941176,0.9725448205804025,0.9326252377932783
Prototyping,"Visual Design, Information Architecture",0.0415,0.038,0.037,0.8915662650602408,23.462270133164232,1.0,0.035422999999999996,8.871777777777767,0.9988298157312242,0.8705882352941176,0.8872830198131402,0.9326252377932783
Visual Design,"Prototyping, Adobe Xd",0.041,0.039,0.0375,0.9146341463414633,23.45215759849906,1.0,0.035900999999999995,11.25742857142856,0.9982898852971845,0.8823529411764705,0.9111697672647902,0.9380863039399624
"Prototyping, Adobe Xd",Visual Design,0.039,0.041,0.0375,0.9615384615384615,23.45215759849906,1.0,0.035900999999999995,24.933999999999944,0.9962122788761705,0.8823529411764705,0.959894120478062,0.9380863039399624
Visual Design,"Prototyping, Wireframing",0.041,0.039,0.0375,0.9146341463414633,23.45215759849906,1.0,0.035900999999999995,11.25742857142856,0.9982898852971845,0.8823529411764705,0.9111697672647902,0.9380863039399624
"Prototyping, Wireframing",Visual Design,0.039,0.041,0.0375,0.9615384615384615,23.45215759849906,1.0,0.035900999999999995,24.933999999999944,0.9962122788761705,0.8823529411764705,0.959894120478062,0.9380863039399624
Wireframing,"Teamwork, Adobe Xd",0.042,0.0305,0.03,0.7142857142857142,23.419203747072597,1.0,0.028718999999999998,3.3932499999999988,0.9992693110647182,0.7058823529411763,0.7052972813674205,0.8489461358313817
"Teamwork, Adobe Xd",Wireframing,0.0305,0.042,0.03,0.9836065573770492,23.419203747072597,1.0,0.028718999999999998,58.43799999999993,0.9874161939143888,0.7058823529411763,0.9828878469489031,0.8489461358313817
"Wireframing, Teamwork",Prototyping,0.0315,0.0415,0.0305,0.9682539682539683,23.331420921782367,1.0,0.02919275,30.192750000000004,0.9882698443596232,0.7176470588235292,0.9668794660969935,0.8515968636450564
"Visual Design, Teamwork",Usability Testing,0.0315,0.0415,0.0305,0.9682539682539683,23.331420921782367,1.0,0.02919275,30.192750000000004,0.9882698443596232,0.7176470588235292,0.9668794660969935,0.8515968636450564
"Teamwork, Usability Testing",Prototyping,0.0315,0.0415,0.0305,0.9682539682539683,23.331420921782367,1.0,0.02919275,30.192750000000004,0.9882698443596232,0.7176470588235292,0.9668794660969935,0.8515968636450564
"Visual Design, Teamwork",Prototyping,0.0315,0.0415,0.0305,0.9682539682539683,23.331420921782367,1.0,0.02919275,30.192750000000004,0.9882698443596232,0.7176470588235292,0.9668794660969935,0.8515968636450564
"Design Systems, Teamwork",Prototyping,0.0315,0.0415,0.0305,0.9682539682539683,23.331420921782367,1.0,0.02919275,30.192750000000004,0.9882698443596232,0.7176470588235292,0.9668794660969935,0.8515968636450564
"Wireframing, Teamwork",Usability Testing,0.0315,0.0415,0.0305,0.9682539682539683,23.331420921782367,1.0,0.02919275,30.192750000000004,0.9882698443596232,0.7176470588235292,0.9668794660969935,0.8515968636450564
Prototyping,"Design Systems, Teamwork",0.0415,0.0315,0.0305,0.7349397590361445,23.331420921782364,1.0,0.02919275,3.6538863636363628,0.9985804321985342,0.7176470588235292,0.7263188012763495,0.8515968636450564
Prototyping,"Teamwork, Usability Testing",0.0415,0.0315,0.0305,0.7349397590361445,23.331420921782364,1.0,0.02919275,3.6538863636363628,0.9985804321985342,0.7176470588235292,0.7263188012763495,0.8515968636450564
Usability Testing,"Visual Design, Teamwork",0.0415,0.0315,0.0305,0.7349397590361445,23.331420921782364,1.0,0.02919275,3.6538863636363628,0.9985804321985342,0.7176470588235292,0.7263188012763495,0.8515968636450564
Usability Testing,"Wireframing, Teamwork",0.0415,0.0315,0.0305,0.7349397590361445,23.331420921782364,1.0,0.02919275,3.6538863636363628,0.9985804321985342,0.7176470588235292,0.7263188012763495,0.8515968636450564
Prototyping,"Wireframing, Teamwork",0.0415,0.0315,0.0305,0.7349397590361445,23.331420921782364,1.0,0.02919275,3.6538863636363628,0.9985804321985342,0.7176470588235292,0.7263188012763495,0.8515968636450564
Prototyping,"Visual Design, Teamwork",0.0415,0.0315,0.0305,0.7349397590361445,23.331420921782364,1.0,0.02919275,3.6538863636363628,0.9985804321985342,0.7176470588235292,0.7263188012763495,0.8515968636450564
Data Science,"Market Research, Stakeholder Management",0.0405,0.036,0.034,0.8395061728395062,23.31961591220851,1.0,0.032542,6.006461538461541,0.9975170891702172,0.8000000000000002,0.8335126274268737,0.8919753086419754
"Market Research, Stakeholder Management",Data Science,0.036,0.0405,0.034,0.9444444444444445,23.319615912208505,1.0,0.032542,17.271000000000026,0.9928606297290701,0.8000000000000002,0.9420994731052054,0.8919753086419754
"Information Architecture, Teamwork",Usability Testing,0.031,0.0415,0.03,0.9677419354838709,23.319082782743877,1.0,0.0287135,29.713499999999925,0.9877364981080151,0.7058823529411763,0.9663452639372675,0.8453167508744655
Usability Testing,"Information Architecture, Teamwork",0.0415,0.031,0.03,0.7228915662650601,23.319082782743877,1.0,0.0287135,3.49682608695652,0.9985567727351765,0.7058823529411763,0.7140263841744686,0.8453167508744655
Data Science,"Agile, Market Research",0.0405,0.0345,0.0325,0.8024691358024691,23.259974950796206,1.0,0.031102750000000002,4.88784375,0.9974024932857658,0.764705882352941,0.7954108087027127,0.8722490606548577
"Agile, Market Research",Data Science,0.0345,0.0405,0.0325,0.9420289855072463,23.259974950796206,1.0,0.031102750000000002,16.55137499999999,0.9912042385372266,0.764705882352941,0.9395820588923881,0.8722490606548577
Information Architecture,"Prototyping, Teamwork",0.041,0.032,0.0305,0.7439024390243902,23.246951219512194,1.0,0.029188,3.7798095238095235,0.9978973999555548,0.7176470588235292,0.7354364039508163,0.8485137195121951
"Prototyping, Teamwork",Visual Design,0.032,0.041,0.0305,0.953125,23.246951219512194,1.0,0.029188,20.458666666666666,0.9886194282617532,0.7176470588235292,0.9511209593326382,0.8485137195121951
"Prototyping, Teamwork",Information Architecture,0.032,0.041,0.0305,0.953125,23.246951219512194,1.0,0.029188,20.458666666666666,0.9886194282617532,0.7176470588235292,0.9511209593326382,0.8485137195121951
Visual Design,"Prototyping, Teamwork",0.041,0.032,0.0305,0.7439024390243902,23.246951219512194,1.0,0.029188,3.7798095238095235,0.9978973999555548,0.7176470588235292,0.7354364039508163,0.8485137195121951
Visual Design,"Design Systems, Teamwork",0.041,0.0315,0.03,0.7317073170731707,23.228803716608596,1.0,0.028708499999999998,3.6098636363636363,0.9978623566214807,0.7058823529411763,0.7229812256821587,0.8420441347270615
Information Architecture,"Teamwork, Usability Testing",0.041,0.0315,0.03,0.7317073170731707,23.228803716608596,1.0,0.028708499999999998,3.6098636363636363,0.9978623566214807,0.7058823529411763,0.7229812256821587,0.8420441347270615
"Teamwork, Usability Testing",Information Architecture,0.0315,0.041,0.03,0.9523809523809523,23.228803716608592,1.0,0.028708499999999998,20.138999999999978,0.9880743417656168,0.7058823529411763,0.9503451015442673,0.8420441347270615
"Design Systems, Teamwork",Visual Design,0.0315,0.041,0.03,0.9523809523809523,23.228803716608592,1.0,0.028708499999999998,20.138999999999978,0.9880743417656168,0.7058823529411763,0.9503451015442673,0.8420441347270615
Data Science,"User Research, Market Research",0.0405,0.0335,0.0315,0.7777777777777778,23.217247097844112,1.0,0.03014325,4.3492500000000005,0.9973200327551551,0.7411764705882351,0.770075300339139,0.8590381426202321
"User Research, Market Research",Data Science,0.0335,0.0405,0.0315,0.9402985074626865,23.217247097844112,1.0,0.03014325,16.071624999999983,0.99009681472175,0.7411764705882351,0.9377785382623101,0.8590381426202321
Visual Design,Prototyping,0.041,0.0415,0.0395,0.9634146341463414,23.214810461357622,1.0,0.0377985,26.198999999999977,0.9978352978445375,0.9186046511627907,0.9618306042215351,0.957610931531002
Prototyping,Visual Design,0.0415,0.041,0.0395,0.9518072289156626,23.214810461357622,1.0,0.0377985,19.89924999999998,0.9983558170400745,0.9186046511627907,0.949746849755644,0.957610931531002
"Figma, Adobe Xd",Wireframing,0.04,0.042,0.039,0.975,23.21428571428571,1.0,0.03732,38.319999999999965,0.9967948717948717,0.9069767441860465,0.9739039665970772,0.9517857142857142
Wireframing,"Figma, Adobe Xd",0.042,0.04,0.039,0.9285714285714285,23.21428571428571,1.0,0.03732,13.439999999999985,0.9988758631764895,0.9069767441860465,0.925595238095238,0.9517857142857142
Wireframing,"Usability Testing, Adobe Xd",0.042,0.0395,0.0385,0.9166666666666666,23.20675105485232,1.0,0.036841,11.525999999999994,0.9988612639969634,0.8953488372093023,0.9132396321360402,0.945675105485232
Wireframing,"Figma, Usability Testing",0.042,0.0395,0.0385,0.9166666666666666,23.20675105485232,1.0,0.036841,11.525999999999994,0.9988612639969634,0.8953488372093023,0.9132396321360402,0.945675105485232
"Figma, Usability Testing",Wireframing,0.0395,0.042,0.0385,0.9746835443037974,23.20675105485232,1.0,0.036841,37.840999999999966,0.9962614168756803,0.8953488372093023,0.9735736370603314,0.945675105485232
"Usability Testing, Adobe Xd",Wireframing,0.0395,0.042,0.0385,0.9746835443037974,23.20675105485232,1.0,0.036841,37.840999999999966,0.9962614168756803,0.8953488372093023,0.9735736370603314,0.945675105485232
Adobe Xd,"Wireframing, Figma",0.0415,0.0405,0.039,0.9397590361445782,23.203926818384648,1.0,0.03731925,15.927699999999978,0.9983347377713575,0.9069767441860465,0.9372162961381743,0.9513609995537706
"Wireframing, Figma",Adobe Xd,0.0405,0.0415,0.039,0.9629629629629629,23.203926818384648,1.0,0.03731925,25.879499999999965,0.9972942638393393,0.9069767441860465,0.961359377113159,0.9513609995537706
"Visual Design, Usability Testing",Wireframing,0.039,0.042,0.038,0.9743589743589743,23.1990231990232,1.0,0.036362,37.361999999999966,0.9957281340708692,0.883720930232558,0.9732348375354638,0.9395604395604396
Wireframing,"Visual Design, Usability Testing",0.042,0.039,0.038,0.9047619047619047,23.199023199023195,1.0,0.036362,10.090499999999988,0.9988462806285023,0.883720930232558,0.9008968832069767,0.9395604395604396
"Wireframing, Usability Testing",Adobe Xd,0.04,0.0415,0.0385,0.9625,23.19277108433735,1.0,0.03684,25.560000000000016,0.9967532467532467,0.8953488372093023,0.9608763693270735,0.9451054216867469
"Wireframing, Adobe Xd",Usability Testing,0.04,0.0415,0.0385,0.9625,23.19277108433735,1.0,0.03684,25.560000000000016,0.9967532467532467,0.8953488372093023,0.9608763693270735,0.9451054216867469
Adobe Xd,"Wireframing, Usability Testing",0.0415,0.04,0.0385,0.927710843373494,23.19277108433735,1.0,0.03684,13.279999999999998,0.9983131109891673,0.8953488372093023,0.9246987951807228,0.9451054216867469
Usability Testing,"Wireframing, Adobe Xd",0.0415,0.04,0.0385,0.927710843373494,23.19277108433735,1.0,0.03684,13.279999999999998,0.9983131109891673,0.8953488372093023,0.9246987951807228,0.9451054216867469
Wireframing,"User Research, Adobe Xd",0.042,0.0385,0.0375,0.8928571428571428,23.191094619666046,1.0,0.035883,8.973999999999995,0.998830897703549,0.8720930232558138,0.8885669712502785,0.9334415584415584
"Visual Design, Adobe Xd",Wireframing,0.0385,0.042,0.0375,0.974025974025974,23.191094619666046,1.0,0.035883,36.88299999999999,0.995195007800312,0.8720930232558138,0.9728872380229374,0.9334415584415584
Wireframing,"Visual Design, Adobe Xd",0.042,0.0385,0.0375,0.8928571428571428,23.191094619666046,1.0,0.035883,8.973999999999995,0.998830897703549,0.8720930232558138,0.8885669712502785,0.9334415584415584
"User Research, Adobe Xd",Wireframing,0.0385,0.042,0.0375,0.974025974025974,23.191094619666046,1.0,0.035883,36.88299999999999,0.995195007800312,0.8720930232558138,0.9728872380229374,0.9334415584415584
"Prototyping, Usability Testing",Adobe Xd,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
"Visual Design, Prototyping",Usability Testing,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
"Visual Design, Design Systems",Prototyping,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
"Figma, Usability Testing",Adobe Xd,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
"Usability Testing, Adobe Xd",Prototyping,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
"Wireframing, User Research",Usability Testing,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
"Visual Design, Figma",Prototyping,0.0395,0.0415,0.038,0.9620253164556962,23.181332926643282,1.0,0.03636075,25.240500000000015,0.9962122249924655,0.883720930232558,0.9603811334957707,0.938843983529053
Usability Testing,"Visual Design, Prototyping",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
Adobe Xd,"Figma, Usability Testing",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
Prototyping,"Visual Design, Design Systems",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
Prototyping,"Usability Testing, Adobe Xd",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
Usability Testing,"Wireframing, User Research",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
Prototyping,"Visual Design, Figma",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
Adobe Xd,"Prototyping, Usability Testing",0.0415,0.0395,0.038,0.9156626506024096,23.18133292664328,1.0,0.03636075,11.388785714285708,0.9982909150811301,0.883720930232558,0.912194326499125,0.938843983529053
"Wireframing, Usability Testing",Visual Design,0.04,0.041,0.038,0.95,23.17073170731707,1.0,0.036359999999999996,19.179999999999982,0.9967105263157894,0.883720930232558,0.9478623566214807,0.9384146341463414
"User Research, Figma",Visual Design,0.04,0.041,0.038,0.95,23.17073170731707,1.0,0.036359999999999996,19.179999999999982,0.9967105263157894,0.883720930232558,0.9478623566214807,0.9384146341463414
Visual Design,"Prototyping, Design Systems",0.041,0.04,0.038,0.9268292682926829,23.17073170731707,1.0,0.036359999999999996,13.119999999999989,0.9977498490752429,0.883720930232558,0.923780487804878,0.9384146341463414
Visual Design,"User Research, Figma",0.041,0.04,0.038,0.9268292682926829,23.17073170731707,1.0,0.036359999999999996,13.119999999999989,0.9977498490752429,0.883720930232558,0.923780487804878,0.9384146341463414
Visual Design,"Wireframing, Usability Testing",0.041,0.04,0.038,0.9268292682926829,23.17073170731707,1.0,0.036359999999999996,13.119999999999989,0.9977498490752429,0.883720930232558,0.923780487804878,0.9384146341463414
"Prototyping, Design Systems",Visual Design,0.04,0.041,0.038,0.95,23.17073170731707,1.0,0.036359999999999996,19.179999999999982,0.9967105263157894,0.883720930232558,0.9478623566214807,0.9384146341463414
Adobe Xd,"Visual Design, Usability Testing",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
"Visual Design, Usability Testing",Adobe Xd,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
"User Research, Information Architecture",Prototyping,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
Prototyping,"User Research, Information Architecture",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
Usability Testing,"User Research, Information Architecture",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
Adobe Xd,"Prototyping, Wireframing",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
"Prototyping, Wireframing",Adobe Xd,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
Usability Testing,"Visual Design, User Research",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
Adobe Xd,"Visual Design, Wireframing",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
"Visual Design, Wireframing",Adobe Xd,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
"User Research, Information Architecture",Usability Testing,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
Prototyping,"Visual Design, Wireframing",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
"Visual Design, Wireframing",Prototyping,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
"Visual Design, User Research",Usability Testing,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
Usability Testing,"Prototyping, Information Architecture",0.0415,0.039,0.0375,0.9036144578313252,23.169601482854493,1.0,0.0358815,9.97037499999999,0.9982681272822118,0.8720930232558138,0.8997028697516392,0.9325764596848933
"Prototyping, Information Architecture",Usability Testing,0.039,0.0415,0.0375,0.9615384615384615,23.169601482854493,1.0,0.0358815,24.920999999999946,0.9956711758584806,0.8720930232558138,0.959873199309819,0.9325764596848933
"Wireframing, Information Architecture",Adobe Xd,0.0385,0.0415,0.037,0.961038961038961,23.157565326240025,1.0,0.035402249999999996,24.60149999999999,0.9951300754732892,0.8604651162790696,0.9593520720281283,0.9263026130496009
